date,Tmin,Tmax,vent,pluie
2030-05-15,9.8,19.5,24.7,1.8
2042-02-27,2.0,40.0,85.0,40.0
2029-02-03,15.2,23.9,36.1,0.3
2039-04-21,10.0,15.4,20.5,9.7
2040-01-10,8.9,16.9,28.0,5.7
2024-12-25,11.7,19.9,9.3,8.5
2044-10-09,4.0,45.0,75.0,40.0
2030-11-03,5.6,14.5,16.4,2.8
2033-09-22,2.0,37.0,85.0,40.0
2032-06-26,2.8,9.2,13.6,2.2
2043-09-22,13.1,20.5,17.0,2.6
2024-12-24,17.8,24.7,20.4,0.7
2026-03-05,10.0,17.6,15.1,4.1
2044-12-26,12.9,20.7,10.8,0.6
2031-05-06,6.3,16.0,20.9,2.5
2043-01-01,16.0,25.5,10.4,0.8
2043-03-21,7.3,13.2,21.2,3.0
2035-09-09,9.4,17.9,16.5,0.9
2021-08-07,8.5,15.2,27.7,3.2
2034-02-24,5.8,14.7,12.5,15.9
2042-08-06,5.0,13.9,16.4,3.7
2029-11-29,11.1,17.3,12.1,5.7
2025-04-26,5.2,13.9,28.8,1.0
2022-06-03,10.3,16.5,17.9,0.2
2022-07-09,11.0,19.9,10.0,4.0
2028-02-06,9.9,18.2,33.4,7.2
2028-10-07,15.7,24.0,18.9,1.0
2024-04-23,5.8,13.4,13.2,6.8
2033-10-30,12.0,17.8,28.6,0.7
2023-07-04,9.7,15.7,29.8,1.9
2027-02-28,12.8,19.6,6.0,0.2
2035-08-01,10.0,17.7,25.8,3.0
2036-05-07,10.7,19.6,32.1,0.8
2047-08-19,10.0,17.5,9.0,6.1
2041-03-07,4.0,45.0,70.0,50.0
2030-09-14,6.8,12.3,11.6,4.0
2030-10-14,10.6,18.6,25.9,5.1
2030-08-03,8.1,16.4,26.6,4.3
2028-02-03,9.8,15.7,10.9,12.4
2046-12-14,10.4,16.8,13.9,11.7
2038-10-15,13.0,22.0,26.1,2.3
2028-05-16,9.9,19.3,17.5,3.3
2037-11-12,5.3,14.5,29.3,5.7
2037-10-03,9.0,18.6,13.5,0.9
2045-10-06,9.1,18.3,13.1,1.9
2031-02-24,8.4,13.9,31.5,2.1
2033-03-25,12.6,22.5,12.2,2.8
2033-08-08,14.9,22.4,29.2,0.1
2047-03-19,1.8,8.1,13.3,5.0
2021-11-01,9.9,19.0,25.5,11.0
2047-03-31,5.3,13.7,27.2,3.2
2023-05-07,7.5,15.3,29.7,1.5
2034-02-05,7.1,12.8,12.7,3.1
2025-08-16,10.8,20.8,10.9,0.2
2021-02-05,6.3,14.9,13.2,3.3
2040-05-11,13.6,22.2,19.3,2.4
2027-04-30,9.0,17.5,48.8,1.6
2029-12-31,9.0,14.8,16.6,1.4
2035-09-29,-2.0,42.0,70.0,45.0
2045-11-05,16.2,23.1,19.6,0.9
2043-04-05,10.8,17.7,18.7,8.8
2046-01-23,11.7,20.7,22.7,9.5
2048-02-15,11.9,18.3,18.6,0.8
2048-01-23,11.3,18.5,19.9,0.6
2041-01-03,4.0,42.0,70.0,40.0
2039-08-01,12.9,20.8,23.9,2.0
2035-11-15,8.1,13.2,17.5,6.4
2022-02-13,10.4,19.4,23.3,1.8
2040-01-09,12.7,18.6,26.9,0.9
2025-04-12,2.7,8.2,17.5,4.8
2025-02-18,14.4,22.4,12.2,2.1
2021-04-06,5.6,13.7,13.2,4.4
2025-02-21,7.8,13.3,29.0,0.4
2027-08-10,6.6,15.0,15.4,3.6
2033-11-20,14.2,20.6,31.6,0.4
2047-06-01,9.9,16.1,22.6,3.5
2041-02-11,7.5,14.2,30.6,11.9
2037-12-24,6.7,13.9,21.2,2.3
2021-03-27,2.0,37.0,70.0,35.0
2047-04-13,11.7,20.0,26.0,6.9
2033-06-16,9.3,18.6,11.0,0.8
2024-06-15,10.2,18.2,29.0,3.4
2031-08-17,10.9,18.4,34.1,8.0
2034-05-12,12.9,20.4,39.1,0.4
2035-04-12,11.1,18.5,36.3,10.9
2047-05-25,4.9,14.8,19.2,7.7
2025-01-19,8.7,15.1,9.4,2.6
2039-02-09,16.6,26.4,18.6,3.6
2047-03-29,10.8,16.0,20.1,1.3
2022-07-04,3.0,42.0,85.0,45.0
2026-10-11,11.8,16.9,26.0,5.0
2044-12-08,10.4,19.9,26.7,0.8
2031-12-12,9.0,14.8,24.7,4.6
2021-08-03,9.1,16.8,26.8,0.2
2043-06-02,3.0,40.0,90.0,30.0
2031-12-14,11.1,20.6,19.6,0.2
2033-10-10,9.5,19.1,25.5,3.1
2037-04-27,7.6,17.4,16.5,3.5
2047-05-09,6.3,13.8,14.9,6.1
2033-01-29,9.8,19.4,0.6,9.4
2036-05-19,9.0,16.8,7.5,0.1
2037-02-01,7.1,15.1,28.6,11.5
2022-10-14,13.4,21.2,16.6,1.4
2027-06-07,12.1,19.6,17.3,0.2
2021-04-12,8.7,15.5,21.5,0.4
2039-03-31,-2.0,40.0,85.0,35.0
2028-12-17,6.6,14.5,14.9,4.6
2039-01-03,8.2,18.1,25.4,9.1
2041-05-28,6.8,15.3,25.3,6.4
2033-05-07,9.8,16.4,36.2,4.4
2027-11-22,10.3,15.3,12.8,7.4
2041-10-19,5.3,10.6,11.7,4.7
2034-05-23,7.5,16.0,10.3,9.7
2033-12-18,10.9,16.2,17.9,4.9
2031-07-06,7.1,15.1,5.9,0.2
2040-09-05,16.4,25.3,20.0,3.8
2026-10-21,9.4,17.1,10.1,0.8
2041-01-31,10.9,19.2,13.6,8.4
2046-10-19,10.9,18.0,21.1,10.0
2038-06-08,3.1,10.1,31.3,2.2
2025-01-10,13.6,22.0,19.0,2.8
2039-06-18,5.3,13.1,29.7,0.8
2045-10-12,11.3,18.5,20.7,12.3
2024-01-16,9.4,18.4,6.7,2.0
2045-01-26,8.7,17.5,23.8,0.1
2038-06-16,13.3,20.8,32.8,2.4
2030-11-05,13.4,21.4,20.9,3.8
2040-09-21,7.5,12.9,9.1,0.4
2026-12-30,11.8,20.2,14.8,8.6
2039-05-13,4.0,37.0,70.0,50.0
2032-03-31,0.0,42.0,70.0,35.0
2042-11-30,12.1,19.1,9.7,3.3
2026-03-22,-2.0,45.0,90.0,50.0
2043-01-21,3.0,45.0,90.0,30.0
2029-01-31,11.4,18.5,14.0,2.1
2046-06-19,11.3,20.8,28.1,8.1
2047-09-18,12.3,17.4,24.9,0.3
2036-09-15,11.7,17.0,6.0,3.7
2044-01-26,2.0,35.0,75.0,30.0
2047-09-16,8.6,16.8,13.2,9.7
2038-11-01,9.1,15.4,19.1,1.4
2042-05-20,4.2,12.3,24.2,3.1
2039-09-19,6.5,13.4,21.9,0.7
2031-11-03,13.4,20.8,34.0,4.2
2030-11-02,16.9,24.1,30.2,0.3
2022-02-03,9.7,17.7,0.0,8.3
2045-10-13,6.6,14.2,20.7,1.0
2046-04-28,3.0,35.0,80.0,35.0
2035-11-18,12.1,17.8,12.9,8.4
2043-04-10,5.4,10.4,11.0,3.5
2025-07-30,8.9,16.2,20.3,3.2
2037-06-14,13.4,23.3,26.8,2.3
2036-10-07,8.4,16.4,20.2,1.2
2047-11-03,3.0,37.0,80.0,35.0
2030-09-03,9.7,18.6,36.2,2.9
2043-09-27,12.5,18.8,13.4,8.6
2021-12-27,11.6,17.5,36.9,17.0
2037-03-12,9.3,14.9,16.6,10.2
2023-10-08,14.0,21.2,27.1,5.3
2044-05-22,7.9,15.0,13.5,6.9
2047-12-15,0.0,40.0,75.0,30.0
2031-07-28,8.6,14.2,24.9,2.8
2031-01-17,9.6,16.3,25.4,5.0
2030-05-16,11.3,17.7,29.1,3.2
2042-08-29,11.0,18.5,21.5,1.1
2035-01-02,9.6,16.7,16.4,1.2
2037-06-04,11.4,19.5,8.6,0.2
2039-01-31,9.8,15.0,28.3,1.2
2044-03-10,8.3,16.4,22.4,1.0
2040-07-23,5.0,14.9,31.1,8.6
2043-08-04,8.8,16.6,24.2,10.7
2043-01-23,9.1,18.5,15.5,0.4
2032-05-25,9.2,17.2,17.4,6.1
2040-10-30,7.4,15.1,26.4,3.3
2040-07-22,3.0,37.0,70.0,40.0
2045-04-28,8.8,15.6,26.3,7.3
2024-03-29,5.3,13.2,19.3,1.0
2037-06-06,-2.0,42.0,80.0,35.0
2045-06-27,11.0,20.6,27.3,1.6
2023-04-20,9.4,18.3,17.7,2.7
2025-11-04,10.4,19.0,42.3,0.5
2043-03-05,11.3,21.0,15.4,4.4
2040-01-26,10.6,20.1,21.5,3.9
2031-02-21,7.5,16.3,13.9,2.4
2040-03-20,13.9,21.2,24.8,1.8
2046-01-29,13.6,21.9,3.6,1.7
2025-11-22,9.1,15.9,18.7,3.8
2038-07-25,11.1,17.2,13.1,12.0
2040-06-13,9.1,18.7,21.2,5.3
2026-10-10,9.0,15.3,28.1,10.8
2038-04-14,6.3,15.6,32.1,9.4
2035-05-22,7.5,15.4,24.2,3.1
2023-05-17,10.9,18.2,17.1,6.4
2044-05-04,4.8,12.1,15.9,5.5
2044-01-18,10.3,15.6,19.0,0.4
2028-02-23,13.8,22.1,38.7,2.1
2021-05-18,3.0,37.0,75.0,40.0
2036-07-08,12.1,21.9,28.9,0.1
2041-07-17,12.3,22.2,24.9,0.6
2038-11-19,11.4,17.2,21.5,9.0
2036-10-24,6.1,12.3,9.7,5.6
2037-04-09,10.0,19.6,19.4,0.5
2045-12-21,3.4,12.0,23.8,6.2
2031-02-25,14.1,20.1,19.4,0.1
2033-12-26,10.0,16.2,24.2,3.0
2027-02-24,10.3,18.3,15.8,5.0
2029-11-06,3.9,9.3,17.5,0.9
2033-02-15,10.3,19.0,24.6,6.9
2043-11-09,10.9,17.4,12.4,0.7
2040-09-07,3.9,13.1,19.0,0.0
2021-08-05,7.7,13.3,27.8,0.7
2042-05-21,2.0,37.0,85.0,30.0
2043-08-08,10.3,16.5,14.4,4.2
2030-12-26,10.8,16.7,12.3,2.0
2033-02-16,8.6,14.7,8.7,6.7
2028-12-20,8.4,17.4,29.3,4.0
2033-01-10,11.0,17.1,16.3,0.1
2029-09-23,4.0,45.0,75.0,35.0
2033-03-06,10.3,17.3,21.0,1.4
2030-08-11,8.4,15.7,18.6,12.5
2025-07-29,9.3,16.1,15.2,4.7
2022-11-26,11.8,18.6,23.1,1.5
2040-09-29,8.9,14.2,20.1,0.9
2040-08-12,6.0,12.3,25.3,0.4
2037-09-19,13.2,21.0,24.0,0.6
2023-03-07,13.2,21.9,9.4,0.4
2030-03-17,2.0,42.0,85.0,45.0
2032-07-19,8.6,15.7,21.1,13.9
2023-12-21,11.1,17.4,17.8,7.0
2039-12-22,6.8,13.9,15.9,1.5
2040-02-04,13.5,23.0,20.8,4.1
2030-05-12,6.1,14.0,22.0,1.3
2021-04-16,2.0,37.0,85.0,30.0
2043-01-26,10.3,20.2,21.5,2.4
2039-10-13,2.0,40.0,85.0,50.0
2021-12-13,5.7,15.5,4.7,8.0
2030-01-02,8.1,16.9,35.4,12.8
2027-01-09,11.5,18.5,19.4,4.4
2034-07-19,0.0,37.0,75.0,45.0
2046-09-28,8.8,14.6,21.6,1.7
2029-05-07,11.3,16.4,14.0,0.6
2042-07-26,8.2,16.2,15.2,0.5
2040-09-16,15.3,22.1,23.5,1.6
2025-03-04,7.1,12.4,19.9,2.3
2025-08-11,11.0,18.3,32.6,3.8
2036-01-24,11.6,18.1,17.3,28.2
2042-08-27,12.3,21.2,12.7,0.7
2034-11-30,10.4,17.3,13.0,9.3
2022-09-14,11.4,17.6,15.7,4.2
2022-04-29,10.6,15.8,27.2,5.4
2041-11-15,7.8,16.9,25.4,2.3
2043-07-08,11.3,19.7,23.4,3.1
2034-10-06,6.9,12.2,32.9,16.0
2041-01-25,-2.0,35.0,70.0,35.0
2029-05-17,6.4,13.8,34.0,6.8
2024-01-27,13.6,22.0,26.7,1.6
2023-01-18,7.7,15.0,22.9,4.0
2044-08-30,13.4,21.2,35.5,1.3
2038-01-15,15.6,23.0,10.5,1.2
2028-03-13,8.7,18.2,9.8,6.3
2022-02-04,13.7,21.5,30.3,0.4
2021-03-12,11.1,20.7,20.4,5.0
2025-09-27,9.3,18.2,30.3,1.6
2047-07-03,10.0,17.2,8.4,19.0
2035-01-13,7.9,16.6,18.5,14.5
2038-11-10,8.9,17.5,15.0,1.1
2032-07-22,2.8,9.1,21.8,2.1
2028-02-28,11.8,21.4,13.9,0.7
2024-07-05,9.5,19.0,12.9,1.2
2040-04-04,7.1,14.4,19.9,15.1
2040-04-01,5.9,12.2,33.2,3.2
2022-09-01,4.7,12.4,21.0,0.3
2031-03-29,6.0,12.0,28.5,8.0
2036-02-06,13.6,18.8,36.6,2.1
2046-03-08,14.2,24.2,18.8,1.2
2030-04-28,11.3,21.1,24.7,1.6
2034-08-30,17.2,26.8,21.9,0.6
2037-10-11,14.5,22.4,16.4,2.9
2046-04-30,7.6,16.3,33.1,7.0
2035-10-29,7.9,16.3,34.6,3.3
2034-03-18,9.8,19.4,13.6,11.9
2036-01-03,15.9,24.0,20.3,2.8
2048-05-18,3.0,40.0,70.0,40.0
2032-05-10,9.7,14.8,12.8,7.1
2039-10-19,13.1,22.5,18.4,2.7
2047-11-03,16.9,24.7,33.7,3.3
2032-01-21,2.0,37.0,85.0,30.0
2024-12-05,9.5,16.0,20.9,1.5
2028-02-29,12.0,19.3,22.0,0.4
2029-07-24,4.3,10.1,17.4,10.1
2023-08-30,8.0,16.4,33.3,3.6
2046-05-13,7.7,17.1,34.5,2.1
2029-03-20,4.3,12.4,31.1,0.9
2032-07-30,10.8,16.2,8.8,1.9
2021-06-23,11.0,18.9,21.5,0.6
2022-08-16,11.4,20.2,7.5,7.1
2042-08-07,11.8,18.8,9.1,1.6
2030-12-30,11.2,17.4,6.9,3.3
2035-09-01,3.0,42.0,80.0,50.0
2029-05-06,9.0,18.4,14.2,20.8
2039-03-31,1.9,11.2,11.5,11.1
2043-11-04,17.8,26.0,21.2,0.7
2024-12-04,8.3,16.9,37.1,1.5
2032-04-21,7.8,13.5,13.4,0.8
2025-02-03,14.6,23.2,11.6,1.5
2035-11-09,12.0,18.7,31.3,0.2
2023-05-12,4.0,35.0,90.0,35.0
2036-02-24,13.9,23.4,15.1,0.6
2027-08-05,12.5,20.1,22.9,1.7
2029-08-10,8.2,13.5,23.8,12.4
2024-10-25,10.4,20.2,28.6,15.2
2025-09-29,9.9,15.1,6.7,0.1
2024-04-28,12.7,20.0,22.8,0.3
2040-11-22,8.0,16.7,23.9,15.2
2033-06-27,6.8,14.4,10.7,10.4
2034-01-21,13.1,20.1,16.8,0.6
2026-06-05,5.9,13.6,17.7,2.1
2026-11-16,14.5,20.7,14.7,5.8
2029-08-13,7.9,14.7,16.7,30.0
2031-12-09,3.8,13.1,14.1,2.8
2040-01-12,6.0,15.0,20.3,3.2
2041-04-28,6.6,15.1,18.9,3.6
2046-05-08,18.3,23.5,19.7,2.2
2023-06-20,11.1,20.9,18.0,1.2
2038-11-20,14.6,19.7,14.9,2.7
2025-05-13,4.0,40.0,90.0,50.0
2047-02-15,8.3,15.9,3.2,1.7
2039-04-01,7.8,15.8,23.4,11.6
2037-05-29,7.0,13.0,2.2,4.0
2044-06-22,13.6,20.6,14.7,1.5
2033-11-09,9.4,15.4,43.5,6.0
2047-06-10,11.8,19.7,29.1,0.2
2037-06-28,17.5,25.2,24.0,0.7
2042-01-20,9.4,18.5,7.1,2.7
2027-05-27,10.1,16.2,13.8,8.0
2039-06-06,15.0,21.8,19.6,1.2
2030-03-30,6.9,16.2,20.3,2.1
2046-04-25,7.7,13.0,16.7,0.1
2025-05-15,7.0,16.1,16.7,3.6
2042-01-12,7.6,15.2,22.4,1.1
2035-06-04,8.4,17.3,27.8,0.2
2023-01-13,-2.0,45.0,80.0,40.0
2046-06-12,11.2,18.4,13.7,5.8
2040-02-25,8.1,13.1,28.5,5.8
2028-03-10,7.4,15.9,34.1,6.5
2033-02-02,11.8,21.3,17.4,2.4
2021-02-17,13.2,18.7,16.6,0.9
2044-09-27,13.4,18.6,0.0,15.5
2021-02-09,10.6,19.6,34.4,2.4
2025-05-17,16.2,22.2,22.4,2.2
2040-11-07,11.0,20.4,29.6,2.8
2034-11-25,2.0,42.0,80.0,45.0
2039-04-10,10.4,18.6,17.9,7.2
2029-11-19,9.5,18.4,34.6,0.8
2048-02-24,10.9,19.8,13.2,25.5
2025-05-14,2.9,10.3,28.1,0.7
2027-11-25,7.4,15.0,15.6,3.8
2024-03-03,16.8,23.0,15.9,0.8
2040-11-30,9.3,17.2,27.8,6.5
2022-03-11,14.5,20.5,30.5,0.4
2022-07-17,12.6,17.8,22.3,2.7
2024-04-09,5.2,11.8,8.0,1.1
2027-06-03,3.5,13.5,22.8,0.6
2025-03-11,10.4,19.0,28.9,10.2
2022-12-24,3.0,45.0,70.0,40.0
2036-09-14,9.2,17.1,35.5,5.1
2033-05-19,13.2,19.2,20.5,0.1
2028-03-11,14.2,20.8,25.2,0.2
2027-11-01,12.4,19.9,10.6,3.8
2046-05-11,14.5,20.9,19.4,2.4
2025-04-16,10.2,19.8,19.1,1.9
2022-06-18,6.4,13.9,13.4,3.9
2035-06-02,7.5,13.2,32.0,11.9
2026-09-07,9.1,16.2,2.4,9.1
2026-11-09,6.3,12.7,20.3,6.4
2023-02-01,10.4,17.0,8.6,0.3
2039-01-24,8.2,17.6,2.5,0.8
2042-10-22,8.3,17.5,15.4,12.5
2031-05-24,0.0,37.0,80.0,40.0
2039-08-17,2.9,8.4,15.7,1.2
2032-12-03,11.2,18.6,10.1,0.5
2034-08-01,9.0,17.2,12.0,10.6
2036-12-08,3.0,35.0,90.0,35.0
2027-03-05,6.2,15.8,26.0,0.7
2028-07-17,9.8,15.9,27.0,0.0
2027-03-11,11.3,16.9,30.6,8.0
2039-06-21,7.2,14.1,17.1,3.1
2029-07-31,14.5,20.9,31.1,6.0
2044-07-27,2.5,10.2,18.3,2.7
2027-04-21,7.0,15.0,12.8,7.7
2023-01-11,4.5,10.4,15.9,0.1
2046-07-31,14.2,24.1,20.4,0.4
2041-08-12,5.5,13.2,34.9,1.6
2026-09-30,5.3,12.6,24.3,5.6
2032-11-22,13.1,22.1,19.0,1.9
2021-10-19,8.5,18.5,12.9,13.3
2044-05-24,-2.0,35.0,90.0,40.0
2034-09-22,10.0,17.6,23.7,3.0
2033-08-14,12.1,19.6,11.5,1.5
2043-05-19,0.0,35.0,75.0,35.0
2026-03-07,10.0,15.2,28.0,7.5
2040-12-15,0.0,45.0,75.0,40.0
2033-06-07,6.9,15.6,33.3,11.1
2032-01-13,12.4,19.8,26.9,1.8
2021-11-27,10.0,16.8,24.6,4.0
2043-11-24,6.0,12.6,27.0,0.8
2041-04-02,14.2,23.8,17.8,1.1
2044-05-08,13.0,22.4,21.2,3.9
2021-01-15,4.8,11.8,8.9,8.4
2034-06-23,10.9,19.1,30.4,1.4
2032-01-31,18.4,28.1,11.3,1.7
2021-03-11,4.0,45.0,75.0,30.0
2022-05-03,6.8,12.1,18.7,6.8
2041-03-28,10.2,18.6,13.5,30.0
2031-02-26,-2.0,45.0,90.0,35.0
2024-05-01,0.0,42.0,75.0,30.0
2041-03-09,8.8,14.8,25.6,6.4
2022-08-28,2.0,45.0,80.0,35.0
2031-06-25,11.5,18.6,31.4,1.8
2032-11-08,8.8,17.1,10.9,1.1
2045-07-28,12.5,18.6,30.4,1.7
2037-03-26,13.5,18.8,11.4,0.3
2022-10-31,2.0,11.3,27.0,14.6
2038-01-13,9.9,15.4,22.2,10.0
2026-08-18,7.5,13.8,20.5,0.7
2027-03-22,8.5,17.3,18.9,2.1
2044-06-15,13.7,22.3,12.1,1.1
2030-12-25,0.0,42.0,70.0,35.0
2030-11-24,12.1,21.1,27.4,0.7
2032-11-17,3.8,11.0,22.8,15.4
2021-09-23,6.3,12.9,5.5,6.4
2031-03-02,3.0,45.0,75.0,30.0
2028-04-15,3.0,40.0,70.0,40.0
2039-07-28,10.2,17.1,25.4,4.6
2038-06-13,13.4,21.9,18.1,2.5
2043-10-07,12.6,18.3,18.4,0.3
2032-10-27,13.4,18.4,9.6,3.0
2025-11-11,6.0,15.2,12.3,4.4
2022-05-26,10.8,17.3,16.7,4.9
2030-04-17,9.8,15.4,5.9,4.3
2029-02-22,12.7,22.2,17.6,6.4
2029-09-17,11.6,18.8,29.3,1.8
2023-05-01,8.1,14.4,17.5,3.6
2033-06-03,10.7,16.1,16.4,1.5
2036-11-08,5.1,12.5,14.2,8.4
2039-09-27,7.4,13.8,32.9,2.7
2045-09-22,10.0,16.7,27.5,3.8
2042-03-17,7.6,15.1,13.8,3.3
2024-07-06,12.1,22.1,24.0,1.7
2039-04-10,4.0,42.0,70.0,45.0
2033-10-24,10.8,19.2,16.1,0.8
2032-05-07,5.4,15.0,18.6,6.2
2024-06-08,13.7,19.9,10.8,0.6
2043-03-29,11.3,16.5,34.8,3.9
2040-12-24,6.8,12.3,5.9,3.0
2045-04-17,4.7,13.3,24.6,0.9
2046-12-15,13.1,21.1,16.4,3.3
2036-03-29,13.3,18.8,26.5,0.2
2034-07-21,4.0,37.0,80.0,30.0
2035-04-04,13.5,22.1,31.0,0.1
2033-12-14,6.4,12.2,22.2,12.1
2025-06-23,9.0,14.4,24.1,0.2
2023-08-26,15.4,24.6,17.0,1.8
2045-10-25,7.6,17.6,23.0,1.5
2022-01-19,3.0,40.0,70.0,30.0
2033-04-05,12.3,20.6,17.8,0.3
2024-04-16,8.7,16.0,10.7,1.4
2048-04-17,10.2,18.9,27.1,2.2
2031-10-21,12.7,18.0,21.4,0.0
2026-01-08,10.9,20.4,15.5,3.0
2026-01-19,10.5,16.0,32.2,0.9
